yourlist:M20191006E5A08BB0B2D1C45B0C7BC3B55FD265564BC80E0	Entry	Protein names
Q9Y6A2	Q9Y6A2	Cholesterol 24-hydroxylase (CH24H) (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1)
Q8NEJ0	Q8NEJ0	Dual specificity protein phosphatase 18 (EC 3.1.3.16) (EC 3.1.3.48) (Low molecular weight dual specificity phosphatase 20) (LMW-DSP20)
Q8NE22	Q8NE22	SET domain-containing protein 9 (EC 2.1.1.-)
O60237	O60237	Protein phosphatase 1 regulatory subunit 12B (Myosin phosphatase-targeting subunit 2) (Myosin phosphatase target subunit 2)
Q9NZC9	Q9NZC9	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 (EC 3.6.4.-) (HepA-related protein) (hHARP) (Sucrose nonfermenting protein 2-like 1)
Q9HAT1	Q9HAT1	Protein ERGIC-53-like (ERGIC53-like protein) (Lectin mannose-binding 1-like) (LMAN1-like protein)
Q9ULZ0	Q9ULZ0	TP53-target gene 3 protein (TP53-inducible gene 3 protein)
Q76M96	Q76M96	Coiled-coil domain-containing protein 80 (Down-regulated by oncogenes protein 1) (Up-regulated in BRS-3 deficient mouse homolog)
Q9Y5Y0	Q9Y5Y0	Feline leukemia virus subgroup C receptor-related protein 1 (Feline leukemia virus subgroup C receptor) (hFLVCR)
Q9UHW5	Q9UHW5	GPN-loop GTPase 3 (ATP-binding domain 1 family member C)
Q8NBU5	Q8NBU5	ATPase family AAA domain-containing protein 1 (EC 3.6.1.3) (Thorase)
A0PJX4	A0PJX4	Protein shisa-3 homolog
A1L429	A1L429	G antigen 12B/C/D/E (GAGE-12B) (GAGE-12C) (GAGE-12D) (GAGE-12E)
A2RRH5	A2RRH5	WD repeat-containing protein 27
E9PJI5	E9PJI5	Nuclear pore complex-interacting protein family member A7
P50225	P50225	Sulfotransferase 1A1 (ST1A1) (EC 2.8.2.1) (Aryl sulfotransferase 1) (HAST1/HAST2) (Phenol sulfotransferase 1) (Phenol-sulfating phenol sulfotransferase 1) (P-PST 1) (ST1A3) (Thermostable phenol sulfotransferase) (Ts-PST)
O00519	O00519	Fatty-acid amide hydrolase 1 (EC 3.5.1.99) (Anandamide amidohydrolase 1) (Oleamide hydrolase 1)
A6PVS8	A6PVS8	Leucine-rich repeat and IQ domain-containing protein 3 (Leucine-rich repeat-containing protein 44)
O60449	O60449	Lymphocyte antigen 75 (Ly-75) (C-type lectin domain family 13 member B) (DEC-205) (gp200-MR6) (CD antigen CD205)
Q6NXT1	Q6NXT1	Ankyrin repeat domain-containing protein 54 (Lyn-interacting ankyrin repeat protein)
Q6ZXV5	Q6ZXV5	Protein O-mannosyl-transferase TMTC3 (EC 2.4.1.109) (Protein SMILE) (Transmembrane and TPR repeat-containing protein 3)
O75711	O75711	Scrapie-responsive protein 1 (Scrapie-responsive gene 1 protein) (ScRG-1)
P04798	P04798	Cytochrome P450 1A1 (CYPIA1) (EC 1.14.14.1) (Cytochrome P450 form 6) (Cytochrome P450-C) (Cytochrome P450-P1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152)
P05014	P05014	Interferon alpha-4 (IFN-alpha-4) (Interferon alpha-4B) (Interferon alpha-76) (Interferon alpha-M1)
Q8IZT9	Q8IZT9	Protein FAM9C
P09430	P09430	Spermatid nuclear transition protein 1 (STP-1) (TP-1)
P09565	P09565	Putative insulin-like growth factor 2-associated protein (Cell growth-inhibiting gene 44 protein) (Insulin-like growth factor II-associated protein)
Q6UWX4	Q6UWX4	HHIP-like protein 2
P0CW20	P0CW20	LIM and senescent cell antigen-like-containing domain protein 4 (LIM and senescent cell antigen-like-containing domain protein 3-like)
P19113	P19113	Histidine decarboxylase (HDC) (EC 4.1.1.22)
Q8N539	Q8N539	Fibrinogen C domain-containing protein 1
Q6ZTI6	Q6ZTI6	Refilin-A (Regulator of filamin protein A) (RefilinA)
P28566	P28566	5-hydroxytryptamine receptor 1E (5-HT-1E) (5-HT1E) (S31) (Serotonin receptor 1E)
P43362	P43362	Melanoma-associated antigen 9 (Cancer/testis antigen 1.9) (CT1.9) (MAGE-9 antigen)
P50226	P50226	Sulfotransferase 1A2 (ST1A2) (EC 2.8.2.1) (Aryl sulfotransferase 2) (Phenol sulfotransferase 2) (Phenol-sulfating phenol sulfotransferase 2) (P-PST 2)
Q8IYT3	Q8IYT3	Coiled-coil domain-containing protein 170
Q6P9G9	Q6P9G9	Zinc finger protein 449 (Zinc finger and SCAN domain-containing protein 19)
P57771	P57771	Regulator of G-protein signaling 8 (RGS8)
Q9BT23	Q9BT23	LIM domain-containing protein 2
P62952	P62952	Bladder cancer-associated protein (Bladder cancer 10 kDa protein) (Bc10)
Q03923	Q03923	Zinc finger protein 85 (Zinc finger protein HPF4) (Zinc finger protein HTF1)
Q147U1	Q147U1	Zinc finger protein 846
Q14CZ0	Q14CZ0	UPF0472 protein C16orf72
Q8IXL9	Q8IXL9	IQ domain-containing protein F2
Q17RW2	Q17RW2	Collagen alpha-1(XXIV) chain
Q1MSJ5	Q1MSJ5	Centrosome and spindle pole-associated protein 1
Q3ZCT1	Q3ZCT1	Zinc finger protein 260 (Zfp-260)
Q53F39	Q53F39	Metallophosphoesterase 1 (EC 3.1.-.-) (Post-GPI attachment to proteins factor 5)
Q58A44	Q58A44	Prostate collagen triple helix protein (C1QTNF9B antisense RNA 1) (C1QTNF9B antisense gene protein 1)
Q5BN46	Q5BN46	UPF0691 protein C9orf116 (p53-induced expression in RB-null cells protein 1) (Pierce1)
Q5T6M2	Q5T6M2	Putative uncharacterized protein encoded by LINC00242
Q6NSI1	Q6NSI1	Putative ankyrin repeat domain-containing protein 26-like protein
Q6PEY2	Q6PEY2	Tubulin alpha-3E chain (Alpha-tubulin 3E) [Cleaved into: Detyrosinated tubulin alpha-3E chain]
Q8WYR4	Q8WYR4	Radial spoke head 1 homolog (Cancer/testis antigen 79) (CT79) (Male meiotic metaphase chromosome-associated acidic protein) (Meichroacidin) (Testis-specific gene A2 protein)
Q6PGQ1	Q6PGQ1	Aspartate-rich protein 1
Q6UWL6	Q6UWL6	Kin of IRRE-like protein 2 (Kin of irregular chiasm-like protein 2) (Nephrin-like protein 3)
Q7Z2X7	Q7Z2X7	P antigen family member 2 (PAGE-2) (G antigen family C 2) (Prostate-associated gene 2 protein)
Q7Z398	Q7Z398	Zinc finger protein 550
Q7Z5A9	Q7Z5A9	Chemokine-like protein TAFA-1
Q7Z5W3	Q7Z5W3	RNA 5'-monophosphate methyltransferase (EC 2.1.1.-) (BCDIN3 domain-containing protein)
Q7Z6I8	Q7Z6I8	UPF0461 protein C5orf24
Q9H8M2	Q9H8M2	Bromodomain-containing protein 9 (Rhabdomyosarcoma antigen MU-RMS-40.8)
Q8IVE3	Q8IVE3	Pleckstrin homology domain-containing family H member 2
Q8IW36	Q8IW36	Zinc finger protein 695 (Zinc finger protein SBZF3)
Q8IY82	Q8IY82	Dynein regulatory complex subunit 7 (Coiled-coil domain-containing protein 135) (Coiled-coil domain-containing protein lobo homolog)
Q8IYK4	Q8IYK4	Procollagen galactosyltransferase 2 (EC 2.4.1.50) (Collagen beta(1-O)galactosyltransferase 2) (ColGalT 2) (Glycosyltransferase 25 family member 2) (Hydroxylysine galactosyltransferase 2)
Q8WVE6	Q8WVE6	Transmembrane protein 171
Q8N1A6	Q8N1A6	UPF0462 protein C4orf33
Q8NCA5	Q8NCA5	Protein FAM98A
Q8NE63	Q8NE63	Homeodomain-interacting protein kinase 4 (EC 2.7.11.1)
Q8TBZ5	Q8TBZ5	Zinc finger protein 502
Q9H892	Q9H892	Tetratricopeptide repeat protein 12 (TPR repeat protein 12)
Q9Y303	Q9Y303	N-acetylglucosamine-6-phosphate deacetylase (GlcNAc 6-P deacetylase) (EC 3.5.1.25) (Amidohydrolase domain-containing protein 2)
Q8TF63	Q8TF63	Dendritic cell nuclear protein 1 (Dendritic cell nuclear protein-1) (Dendritic cell-associated nuclear protein)
Q92613	Q92613	Protein Jade-3 (Jade family PHD finger protein 3) (PHD finger protein 16)
Q96A70	Q96A70	Antizyme inhibitor 2 (AzI2) (Arginine decarboxylase) (ADC) (ARGDC) (Ornithine decarboxylase-like protein) (ODC-like protein) (ornithine decarboxylase paralog) (ODC-p)
Q96DR5	Q96DR5	BPI fold-containing family A member 2 (Parotid secretory protein) (PSP) (Short palate, lung and nasal epithelium carcinoma-associated protein 2)
Q86WS4	Q86WS4	Uncharacterized protein C12orf40
Q93073	Q93073	Selenocysteine insertion sequence-binding protein 2-like (SECIS-binding protein 2-like)
Q96JI7	Q96JI7	Spatacsin (Colorectal carcinoma-associated protein) (Spastic paraplegia 11 protein)
Q96K17	Q96K17	Transcription factor BTF3 homolog 4 (Basic transcription factor 3-like 4)
Q7L1I2	Q7L1I2	Synaptic vesicle glycoprotein 2B
Q96MU6	Q96MU6	Zinc finger protein 778
Q96MZ4	Q96MZ4	Protein FAM218A
Q5JT82	Q5JT82	Krueppel-like factor 17 (Zinc finger protein 393)
Q96SE0	Q96SE0	Protein ABHD1 (EC 3.1.1.-) (Alpha/beta hydrolase domain-containing protein 1) (Abhydrolase domain-containing protein 1) (Lung alpha/beta hydrolase 1)
Q6UXU4	Q6UXU4	Germ cell-specific gene 1-like protein (GSG1-like protein)
Q9BSG0	Q9BSG0	Protease-associated domain-containing protein 1 (Protease-associated domain-containing protein of 21 kDa) (hPAP21)
Q9BV47	Q9BV47	Dual specificity protein phosphatase 26 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity phosphatase SKRP3) (Low-molecular-mass dual-specificity phosphatase 4) (DSP-4) (LDP-4) (Mitogen-activated protein kinase phosphatase 8) (MAP kinase phosphatase 8) (MKP-8) (Novel amplified gene in thyroid anaplastic cancer)
Q9BWJ2	Q9BWJ2	Putative uncharacterized protein encoded by RHPN1-AS1 (RHPN1 antisense RNA 1) (RHPN1 antisense gene protein 1)
Q9BXU3	Q9BXU3	Testis-expressed protein 13A
Q9BXN6	Q9BXN6	Sperm protein associated with the nucleus on the X chromosome D (Cancer/testis antigen 11.4) (CT11.4) (Nuclear-associated protein SPAN-Xd) (SPANX-D) (SPANX family member D)
Q9H9L7	Q9H9L7	Akirin-1
Q9HAB3	Q9HAB3	Solute carrier family 52, riboflavin transporter, member 2 (Porcine endogenous retrovirus A receptor 1) (PERV-A receptor 1) (Protein GPR172A) (Riboflavin transporter 3) (hRFT3)
Q9HBU6	Q9HBU6	Ethanolamine kinase 1 (EKI 1) (EC 2.7.1.82)
Q9NQV6	Q9NQV6	PR domain zinc finger protein 10 (EC 2.1.1.-) (PR domain-containing protein 10) (Tristanin)
Q9NQW5	Q9NQW5	Probable histone-lysine N-methyltransferase PRDM7 (EC 2.1.1.43) (PR domain zinc finger protein 7) (PR domain-containing protein 7)
Q9NUB1	Q9NUB1	Acetyl-coenzyme A synthetase 2-like, mitochondrial (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acetyl-CoA synthetase 2) (AceCS2) (Acyl-CoA synthetase short-chain family member 1) (Propionate--CoA ligase) (EC 6.2.1.17)
Q9NVV2	Q9NVV2	Putative uncharacterized protein C19orf73
Q9NX94	Q9NX94	WW domain binding protein 1-like (Outcome predictor in acute leukemia 1)
Q9NZJ9	Q9NZJ9	Diphosphoinositol polyphosphate phosphohydrolase 2 (DIPP-2) (EC 3.6.1.52) (Diadenosine 5',5'''-P1,P6-hexaphosphate hydrolase 2) (Nucleoside diphosphate-linked moiety X motif 4) (Nudix motif 4)
Q9NZQ0	Q9NZQ0	DnaJ homolog subfamily C member 27 (Rab and DnaJ domain-containing protein)
Q9UF47	Q9UF47	DnaJ homolog subfamily C member 5B (Cysteine string protein beta) (CSP-beta)
Q9Y5L2	Q9Y5L2	Hypoxia-inducible lipid droplet-associated protein (Hypoxia-inducible gene 2 protein)
Q5U649	Q5U649	Uncharacterized protein C12orf60
Q6UWQ5	Q6UWQ5	Lysozyme-like protein 1 (EC 3.2.1.17)
Q9Y694	Q9Y694	Solute carrier family 22 member 7 (Novel liver transporter) (Organic anion transporter 2) (hOAT2)
Q12872	Q12872	Splicing factor, suppressor of white-apricot homolog (Splicing factor, arginine/serine-rich 8) (Suppressor of white apricot protein homolog)
Q8NBI3	Q8NBI3	Draxin (Dorsal inhibitory axon guidance protein) (Dorsal repulsive axon guidance protein) (Neucrin)
O75973	O75973	C1q-related factor (C1q and tumor necrosis factor-related protein 14) (C1q/TNF-related protein 14) (Complement component 1 Q subcomponent-like 1)
Q9NRR3	Q9NRR3	CDC42 small effector protein 2 (Small effector of CDC42 protein 2)
Q9NW13	Q9NW13	RNA-binding protein 28 (RNA-binding motif protein 28)
Q8ND04	Q8ND04	Protein SMG8 (Amplified in breast cancer gene 2 protein) (Protein smg-8 homolog)
Q7Z3J2	Q7Z3J2	VPS35 endosomal protein sorting factor-like (Esophageal cancer-associated protein)
Q86Y91	Q86Y91	Kinesin-like protein KIF18B
Q9BQI6	Q9BQI6	SMC5-SMC6 complex localization factor protein 1 (Ankyrin repeat domain-containing protein 32) (BRCT domain-containing protein 1) (Smc5/6 localization factor 1)
Q6P9F0	Q6P9F0	Coiled-coil domain-containing protein 62 (Protein TSP-NY) (Protein aaa)
Q969W1	Q969W1	Palmitoyltransferase ZDHHC16 (EC 2.3.1.225) (Abl-philin 2) (Zinc finger DHHC domain-containing protein 16) (DHHC-16)
Q4G0S4	Q4G0S4	Cytochrome P450 27C1 (EC 1.14.19.53) (All-trans retinol 3,4-desaturase)
Q9BWW8	Q9BWW8	Apolipoprotein L6 (Apolipoprotein L-VI) (ApoL-VI)
Q96IU4	Q96IU4	Protein ABHD14B (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 14B) (Abhydrolase domain-containing protein 14B) (CCG1-interacting factor B)
O94808	O94808	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 2) (Glutamine:fructose-6-phosphate amidotransferase 2) (GFAT 2) (GFAT2) (Hexosephosphate aminotransferase 2)
Q8IU54	Q8IU54	Interferon lambda-1 (IFN-lambda-1) (Cytokine Zcyto21) (Interleukin-29) (IL-29)
Q9BXJ7	Q9BXJ7	Protein amnionless [Cleaved into: Soluble protein amnionless]
Q9H0M4	Q9H0M4	Zinc finger CW-type PWWP domain protein 1
Q96EK2	Q96EK2	PHD finger protein 21B
O43812	O43812	Double homeobox protein 1
Q6NSW7	Q6NSW7	Homeobox protein NANOGP8
Q9BUK0	Q9BUK0	Coiled-coil-helix-coiled-coil-helix domain-containing protein 7
Q9UHE8	Q9UHE8	Metalloreductase STEAP1 (EC 1.16.1.-) (Six-transmembrane epithelial antigen of prostate 1)
Q15825	Q15825	Neuronal acetylcholine receptor subunit alpha-6
Q6P5S2	Q6P5S2	Protein LEG1 homolog
Q9BSF4	Q9BSF4	Mitochondrial import inner membrane translocase subunit Tim29 (TIM29)
Q8IVV7	Q8IVV7	Glucose-induced degradation protein 4 homolog (Vacuolar import and degradation protein 24 homolog)
Q9Y519	Q9Y519	Transmembrane protein 184B (Putative MAPK-activating protein FM08)
Q9Y256	Q9Y256	CAAX prenyl protease 2 (EC 3.4.22.-) (Farnesylated proteins-converting enzyme 2) (FACE-2) (Prenyl protein-specific endoprotease 2) (RCE1 homolog) (hRCE1)
Q96NL8	Q96NL8	Protein C8orf37
Q6NS38	Q6NS38	DNA oxidative demethylase ALKBH2 (EC 1.14.11.33) (Alkylated DNA repair protein alkB homolog 2) (Alpha-ketoglutarate-dependent dioxygenase alkB homolog 2) (Oxy DC1)
Q96BP2	Q96BP2	Coiled-coil-helix-coiled-coil-helix domain-containing protein 1 (28S ribosomal protein S37, mitochondrial) (MRP-S37) (Mitochondrial small ribosomal subunit protein mS37) (Nuclear protein C2360)
Q562R1	Q562R1	Beta-actin-like protein 2 (Kappa-actin)
Q9Y2Q9	Q9Y2Q9	28S ribosomal protein S28, mitochondrial (MRP-S28) (S28mt) (28S ribosomal protein S35, mitochondrial) (MRP-S35) (S35mt) (Mitochondrial small ribosomal subunit protein bS1m)
Q8ND24	Q8ND24	RING finger protein 214
Q96BR5	Q96BR5	Cytochrome c oxidase assembly factor 7 (Beta-lactamase hcp-like protein) (Respiratory chain assembly factor 1) (Sel1 repeat-containing protein 1)
Q8NET4	Q8NET4	Retrotransposon Gag-like protein 9 (Retrotransposon gag domain-containing protein 1) (Tumor antigen BJ-HCC-23)
Q5VZK9	Q5VZK9	F-actin-uncapping protein LRRC16A (CARMIL homolog) (Capping protein regulator and myosin 1 linker protein 1) (Capping protein, Arp2/3 and myosin-I linker homolog 1) (Capping protein, Arp2/3 and myosin-I linker protein 1) (Leucine-rich repeat-containing protein 16A)
P82663	P82663	28S ribosomal protein S25, mitochondrial (MRP-S25) (S25mt) (Mitochondrial small ribosomal subunit protein mS25)
Q6P4Q7	Q6P4Q7	Metal transporter CNNM4 (Ancient conserved domain-containing protein 4) (Cyclin-M4)
Q58FF7	Q58FF7	Putative heat shock protein HSP 90-beta-3 (Heat shock protein 90-beta c) (Heat shock protein 90Bc)
Q6P3R8	Q6P3R8	Serine/threonine-protein kinase Nek5 (EC 2.7.11.1) (Never in mitosis A-related kinase 5) (NimA-related protein kinase 5)
Q8TBY8	Q8TBY8	Polyamine-modulated factor 1-binding protein 1 (PMF-1-binding protein)
P0C881	P0C881	Radial spoke head 10 homolog B
Q7LGC8	Q7LGC8	Carbohydrate sulfotransferase 3 (EC 2.8.2.17) (Chondroitin 6-O-sulfotransferase 1) (C6ST-1) (Chondroitin 6-sulfotransferase) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 0) (GST-0)
A2RUR9	A2RUR9	Coiled-coil domain-containing protein 144A
Q9BXW6	Q9BXW6	Oxysterol-binding protein-related protein 1 (ORP-1) (OSBP-related protein 1)
O95299	O95299	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial (Complex I-42kD) (CI-42kD) (NADH-ubiquinone oxidoreductase 42 kDa subunit)
O95461	O95461	LARGE xylosyl- and glucuronyltransferase 1 (EC 2.4.-.-) (Acetylglucosaminyltransferase-like 1A) (Glycosyltransferase-like protein) [Includes: Xylosyltransferase LARGE (EC 2.4.2.-); Beta-1,3-glucuronyltransferase LARGE (EC 2.4.1.-)]
Q7Z7H5	Q7Z7H5	Transmembrane emp24 domain-containing protein 4 (Endoplasmic reticulum stress-response protein 25) (ERS25) (GMP25iso) (Putative NF-kappa-B-activating protein 156) (p24 family protein alpha-3) (p24alpha3)
Q9NYK5	Q9NYK5	39S ribosomal protein L39, mitochondrial (L39mt) (MRP-L39) (39S ribosomal protein L5, mitochondrial) (L5mt) (MRP-L5) (Mitochondrial large ribosomal subunit protein mL39)
Q4G0N8	Q4G0N8	Sodium/hydrogen exchanger 10 (Na(+)/H(+) exchanger 10) (NHE-10) (Solute carrier family 9 member 10) (Solute carrier family 9 member C1) (Sperm-specific Na(+)/H(+) exchanger) (sNHE)
Q9H490	Q9H490	Phosphatidylinositol glycan anchor biosynthesis class U protein (Cell division cycle protein 91-like 1) (Protein CDC91-like 1) (GPI transamidase component PIG-U)
Q9HD45	Q9HD45	Transmembrane 9 superfamily member 3 (EP70-P-iso) (SM-11044-binding protein)
Q9NX61	Q9NX61	Transmembrane protein 161A (Adaptive response to oxidative stress protein 29) (AROS-29)
Q9BVG9	Q9BVG9	Phosphatidylserine synthase 2 (PSS-2) (PtdSer synthase 2) (EC 2.7.8.29) (Serine-exchange enzyme II)
O96005	O96005	Cleft lip and palate transmembrane protein 1
Q5VZP5	Q5VZP5	Inactive dual specificity phosphatase 27
Q8WUY1	Q8WUY1	Protein THEM6 (Mesenchymal stem cell protein DSCD75) (Thioesterase superfamily member 6)
Q8N4L2	Q8N4L2	Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase (Type 2 PtdIns-4,5-P2 4-Ptase) (EC 3.1.3.78) (PtdIns-4,5-P2 4-Ptase II) (Transmembrane protein 55A)
Q6P1A2	Q6P1A2	Lysophospholipid acyltransferase 5 (LPLAT 5) (EC 2.3.1.-) (1-acylglycerophosphocholine O-acyltransferase) (EC 2.3.1.23) (1-acylglycerophosphoserine O-acyltransferase) (EC 2.3.1.n6) (Lysophosphatidylcholine acyltransferase) (LPCAT) (Lyso-PC acyltransferase) (Lysophosphatidylcholine acyltransferase 3) (Lyso-PC acyltransferase 3) (Lysophosphatidylserine acyltransferase) (LPSAT) (Lyso-PS acyltransferase) (Membrane-bound O-acyltransferase domain-containing protein 5) (O-acyltransferase domain-containing protein 5)
A6NIM6	A6NIM6	Solute carrier family 15 member 5
Q86W11	Q86W11	Zinc finger and SCAN domain-containing protein 30 (ZNF-WYM) (Zinc finger protein 397 opposite strand) (Zinc finger protein 397OS)
A1L4L8	A1L4L8	PLAC8-like protein 1
P08F94	P08F94	Fibrocystin (Polycystic kidney and hepatic disease 1 protein) (Polyductin) (Tigmin)
O75063	O75063	Glycosaminoglycan xylosylkinase (EC 2.7.1.-) (Xylose kinase)
Q6ZSJ9	Q6ZSJ9	Protein shisa-6
A8MYP8	A8MYP8	Outer dense fiber protein 3B (Outer dense fiber protein 3-like protein 3)
P59861	P59861	Beta-defensin 131A (Beta-defensin 31) (DEFB-31) (Defensin, beta 131)
Q9UBC7	Q9UBC7	Galanin-like peptide
Q8WWY7	Q8WWY7	WAP four-disulfide core domain protein 12 (Putative protease inhibitor WAP12) (Whey acidic protein 2)
Q9Y5Q0	Q9Y5Q0	Fatty acid desaturase 3 (EC 1.14.19.-) (Delta(13) fatty acid desaturase) (Delta(13) desaturase)
Q8IUB5	Q8IUB5	WAP four-disulfide core domain protein 13
Q86TD4	Q86TD4	Sarcalumenin
Q9NV96	Q9NV96	Cell cycle control protein 50A (P4-ATPase flippase complex beta subunit TMEM30A) (Transmembrane protein 30A)
Q8N609	Q8N609	Translocating chain-associated membrane protein 1-like 1
Q8IWZ4	Q8IWZ4	Tripartite motif-containing protein 48 (RING finger protein 101)
Q99536	Q99536	Synaptic vesicle membrane protein VAT-1 homolog (EC 1.-.-.-)
Q9UJ71	Q9UJ71	C-type lectin domain family 4 member K (Langerin) (CD antigen CD207)
Q4G0P3	Q4G0P3	Hydrocephalus-inducing protein homolog
P78410	P78410	Butyrophilin subfamily 3 member A2
O95236	O95236	Apolipoprotein L3 (Apolipoprotein L-III) (ApoL-III) (TNF-inducible protein CG12-1) (CG12_1)
Q96LT6	Q96LT6	UPF0739 protein C1orf74
Q9UBR5	Q9UBR5	Chemokine-like factor (C32)
Q96N06	Q96N06	Spermatogenesis-associated protein 33
Q8TCB0	Q8TCB0	Interferon-induced protein 44 (p44) (Microtubule-associated protein 44)
Q68CK6	Q68CK6	Acyl-coenzyme A synthetase ACSM2B, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 2B) (Benzoate--CoA ligase) (EC 6.2.1.25) (Butyrate--CoA ligase 2B) (Butyryl-coenzyme A synthetase 2B) (Middle-chain acyl-CoA synthetase 2B) (Xenobiotic/medium-chain fatty acid-CoA ligase HXM-A)
Q5NE16	Q5NE16	Putative inactive cathepsin L-like protein CTSL3P (Cathepsin L3 pseudogene) (HCTSL-s)
Q63HM9	Q63HM9	PI-PLC X domain-containing protein 3
Q8N4T8	Q8N4T8	Carbonyl reductase family member 4 (EC 1.-.-.-) (3-ketoacyl-[acyl-carrier-protein] reductase beta subunit) (KAR beta subunit) (3-oxoacyl-[acyl-carrier-protein] reductase) (EC 1.1.1.-) (Quinone reductase CBR4) (Short chain dehydrogenase/reductase family 45C member 1)
Q6ZR52	Q6ZR52	Zinc finger protein 493
Q13066	Q13066	G antigen 2B/2C (GAGE-2B) (GAGE-2C) (Cancer/testis antigen 4.2) (CT4.2) (G antigen 2C)
Q13070	Q13070	G antigen 6 (GAGE-6) (Cancer/testis antigen 4.6) (CT4.6)
A6NGK3	A6NGK3	G antigen 10 (GAGE-10)
Q96HU8	Q96HU8	GTP-binding protein Di-Ras2 (Distinct subgroup of the Ras family member 2)
Q8N130	Q8N130	Sodium-dependent phosphate transport protein 2C (Sodium-phosphate transport protein 2C) (Na(+)-dependent phosphate cotransporter 2C) (Sodium/inorganic phosphate cotransporter IIC) (Sodium/phosphate cotransporter 2C) (Na(+)/Pi cotransporter 2C) (NaPi-2c) (Solute carrier family 34 member 3)
Q9BRK3	Q9BRK3	Matrix remodeling-associated protein 8 (Limitrin)
A6NEQ0	A6NEQ0	RNA-binding motif protein, Y chromosome, family 1 member E
Q96AN5	Q96AN5	Transmembrane protein 143
